UKIDSS_H	WIRCAM_KS	IRAC_CH4	MKO_J	HAWK_NB1060	fsed	NIRC2_FE2	NICMOS_F095N	MKO_H	WIRCAM_Y	WIRC_CO	NICMOS_F164N	MKO_MP	MKO_LP	NIRC2_M	WIRC_K	PANSTARRS_W	MKO_H_ATM	NICMOS_F190N	WFCAM_Y	2MASS_K	NIRC2_KCONT	WFCAM_K	FOURSTAR_J2	NICMOS_F097N	IRAC_CH3	2MASS_Ks	2MASS_J	NICMOS_F145M	NICMOS_F140W	VISTA_H	PANSTARRS_R	VISTA_Z	cld	UKIDSS_K	NICMOS_F110M	SDSS_U	NICMOS_F110W	MKO_K	WIRC_CH4S	BESSEL_I	WFC3_F127M	UKIDSS_Z	teff	HAWK_H2	UKIDSS_Y	VISTA_Y	MKO_KP	FOURSTAR_KS	NIRC2_KS	WIRC_J	WIRC_PABETA	NICMOS_F160W	NIRC2_H	NICMOS_F090M	SDSS_R	WFC3_F167N	WISE_W1	MKO_K_ATM	VISTA_J	FOURSTAR_J1	HAWK_KS	WIRCAM_KCONT	HAWK_Y	2MASS_KS	2MASS_H	kzz	WIRCAM_CH4_ON	HAWK_BRG	WIRCAM_J	WISE_W2	IRAC_CH2	NICMOS_F113N	PANSTARRS_G	HAWK_NB2090	FOURSTAR_H	SDSS_I	WFCAM_J	WIRCAM_CH4_OFF	HAWK_H	WFCAM_Z	FOURSTAR_J3	WFC3_F164N	SDSS_G	NIRC2_HCONT	NIRC2_J	PANSTARRS_I	PANSTARRS_Z	FOURSTAR_K	MKO_J_ATM	WISE_W4	NICMOS_F187N	SDSS_Z	NICMOS_F108N	UKIDSS_J	NIRC2_KP	FOURSTAR_H_LONG	VISTA_KS	HAWK_CH4	WIRC_BRGAMMA	WIRC_CH4L	PANSTARRS_Y	NIRC2_LP	WIRC_H	NICMOS_F166N	HAWK_J	FOURSTAR_J	WIRCAM_H	logg	WFCAM_H2	WIRC_FE2	IRAC_CH1	FOURSTAR_H_SHORT	WISE_W3	NICMOS_F170M	WFC3_F139M	WFCAM_H	HAWK_NB1190	z	WFCAM_BRG	NICMOS_F165M	NIRC2_K
-28.954612729989723	-28.55773321060896	-34.09464593737341	-30.07579637012071	-29.803217608224198	nc	-27.09939506703913	-25.312217404813865	-28.90818980831929	-29.121705773289438	-25.67528744310358	-27.05158523230217	-31.641744768793053	-32.61323334970069	-31.58311523930592	-25.660671081185583	-19.44795285938615	-28.903787855617395	-27.092060327734508	-29.3267215276714	-28.625835766949198	-25.5873119347575	-28.266411866013602	-27.875162484261182	-26.461200192205023	-33.130532708437954	-28.625835766949198	-29.3938843417456	-27.757286668811982	-29.17959518849016	-28.91274957199155	-17.431178201691605	-25.146283661820213	nc	-28.391766008775015	-28.818666589044337	-6.8488102389239	-28.65524190272965	-28.44086493467585	-29.402570620002855	nan	-30.743223134454247	-25.272204940403277	500.0	-29.081283595228594	-29.262704535442957	-29.086827627910523	-28.499303145366536	-29.621984701668946	-28.56432976185561	-29.40147884229419	-30.236862369678114	-28.531060076766856	-28.953829245704807	-25.5895877531755	-17.052014406408805	-27.010147510207748	-30.495613882556192	-28.258667285305297	-29.952248961371723	-29.41420387748876	-28.5236882121062	-26.701767117796912	-29.054971371071744	-28.625835766949198	-28.356449364982396	eq	-26.389691084888337	-28.53928006944645	-30.11468855235522	-32.667371686025525	-32.617991912882175	-22.96305703463502	-12.673614974907494	-29.27065113670878	-28.909096608930597	-21.151794843297424	-30.06760038184623	-29.767597112100702	-28.849618657742408	-25.211020292140788	-30.2310395052206	-27.349404262710657	-12.741839812797961	-29.894377682498018	-30.097245068167954	-21.229762117356273	-24.936242126993662	-29.621984701668946	-29.84548789809694	-36.35974827368203	-26.143022970897952	-26.241926054687596	-29.742020473560537	-30.073439661429035	-28.483826856699675	-26.818347779020513	-28.610727438869276	-29.732846067734968	-27.994842921829573	-27.08419920108102	-27.258454776394498	-32.56432933958548	-29.90059135755452	-26.810036900330964	-30.22016920665496	-29.621984701668946	-28.948882413762096	3.0	-28.94206834543692	-27.385892441212462	-31.258819319941182	-29.354631890936762	-35.47851816906412	-27.314378846434877	-19.954128182578398	-28.931500237847857	-24.355504319605462	-0.0	-28.2534055052514	-29.134061114083565	-28.490711048760527
-29.108676654318906	-28.65494884731898	-34.02589386072591	-30.225693545560016	-30.008565144906814	nc	-27.2609513346967	-25.35628486676532	-29.091237056965852	-29.33604589629786	-25.668952992812855	-27.266802541921116	-31.971187276912943	-32.66798231611362	-31.919696609710748	-25.408200965696803	-19.74313456344167	-29.106375765563076	-26.917245947923796	-29.545445755058264	-28.71268790304679	-25.32456595121996	-28.348245808994143	-28.088989444952233	-26.572559725656095	-32.97869751391717	-28.71268790304679	-29.55260328704878	-27.79763177758796	-29.35045860208993	-29.08269118499835	-17.78954665566974	-25.312782983496668	nc	-28.48437789144549	-29.028481998276238	-8.127819985636727	-28.831677125883065	-28.53650732521014	-29.618497136037966	nan	-30.88979323608474	-25.424007792713	500.0	-29.185366022765592	-29.473097106425698	-29.303239522469497	-28.58602829408823	-29.774901392031744	-28.669828787151324	-29.583761330465187	-30.24463413300807	-28.679150252350176	-29.110427766510586	-25.760437702119305	-17.41303360394085	-27.10557756720128	-30.460995270274505	-28.365679311100223	-30.10632706600337	-29.633749356420225	-28.630480542493398	-26.567421866385807	-29.26823713146088	-28.71268790304679	-28.58527891070303	eq	-26.575882148498472	-28.66173207104769	-30.26539509338251	-32.887377617688344	-32.86111178160069	-23.076176718773667	-13.491001276518107	-29.41913769314345	-29.06979939856925	-21.443858997728338	-30.219785818411577	-29.972155513140663	-29.015797563174463	-25.375586113935242	-30.38651994118746	-27.486149520379183	-13.516008228792813	-30.163840098911404	-30.25149564259058	-21.52005600498679	-25.10925181454555	-29.774901392031744	-30.036095352596014	-36.32339258932086	-25.970482983454154	-26.41851635231631	-29.94513186638465	-30.225961150098573	-28.57687984962103	-26.954111522010503	-28.70731524052069	-29.90592978676746	-28.058770017567053	-27.2236816576293	-27.461376065933344	-32.61832455390974	-30.24202717140449	-27.006643864120058	-30.371204468384796	-29.774901392031744	-29.101121561099493	3.5	-29.013070749895405	-27.491351565527715	-31.259382847451317	-29.5203619308499	-35.521121011617495	-27.424651283487197	-19.80854948907983	-29.102434691115885	-24.539693296011297	-0.0	-28.3297701409965	-29.323240582576368	-28.582157016422926
-29.097520729096406	-28.059941215094952	-33.88751130105	-30.05678328383887	-29.74546268416736	nc	-27.399330400934492	-24.920261039190223	-29.067941505069754	-29.11394117767056	-25.50490811098333	-27.41936457875809	-33.57430218308366	-32.65819663700645	-33.579407286730415	-25.17495130853344	-20.18471994375252	-29.110250172654737	-26.194661724310638	-29.321252118086374	-28.12233399692976	-25.12255769006395	-27.758950798569344	-27.873749243583468	-26.305180147809523	-32.80300750017017	-28.12233399692976	-29.413363376543767	-27.604527754486643	-29.18977577442922	-29.083404947145265	-18.249332095668485	-25.21608684352661	nc	-27.89201688157299	-28.804639980393567	-7.576933010811353	-28.65193018527592	-27.939279004543558	-29.672594259298325	nan	-30.732514854290915	-25.299124024934756	500.0	-28.58499880210772	-29.25070975254759	-29.097685020395065	-27.990221831883005	-29.628223850211597	-28.086047461242124	-29.54328975332174	-29.994913665346886	-28.66058943717515	-29.061145556010285	-25.60565222770792	-17.92201766061709	-27.14820893734626	-30.438640654487404	-27.826728638164834	-29.95981246351021	-29.402631117994694	-28.032397914752806	-26.19933819971527	-29.06470715053984	-28.12233399692976	-28.724488484497396	eq	-26.725799518767207	-28.17961655395774	-30.09659379632677	-33.49602861222441	-33.49977904341224	-22.855099843895637	-13.212006459569913	-28.773935327630728	-29.059576330790826	-21.871579306876615	-30.07201614991559	-29.988284414057723	-29.032064488886515	-25.27196799756744	-30.234979297581866	-27.565582897755085	-13.02781940676448	-30.24123169490778	-30.08235842196723	-21.94887231813866	-25.036564365553918	-29.628223850211597	-29.835029040805004	-36.2747242468918	-25.315955115154082	-26.23286229823101	-29.647280207991976	-30.066287199304735	-27.976961685892675	-27.011466656291383	-28.104513167334353	-29.891914006728936	-27.592094509238798	-27.285462256832602	-27.284572398248137	-32.61966791982665	-30.420896395889994	-27.17910135840814	-30.190043141341647	-29.628223850211597	-29.08722696508122	4.0	-28.433300778179337	-27.550013791958584	-31.260409485561162	-29.510211396999708	-35.41387239000073	-27.45374013546605	-19.360130807504767	-29.104680555245967	-24.609164497546256	-0.0	-27.84820469147913	-29.355945382147578	-27.979791552705656
-29.053028771566126	-27.484729763552135	-33.77717665032777	-29.855447885478622	-29.424777805164105	nc	-27.661139520253812	-24.668406612283306	-29.01523957038294	-28.889208739174595	-25.524300301290914	-27.707309810037724	-34.02827270085661	-32.7443032900603	-34.042931279360246	-25.181848063947015	-20.886590305484166	-28.992659254063902	-25.601418011023135	-29.079725650101047	-27.53141058295447	-25.140081078127317	-27.236003782350757	-27.607104834369625	-26.234667245386312	-32.68859651732342	-27.53141058295447	-29.16697325202028	-27.299767653661252	-29.00665610068514	-29.030955330878964	-19.036622611594687	-25.38376607306272	nc	-27.339288905418986	-28.562280860586917	-6.997862316599699	-28.452618256082715	-27.375923470435524	-29.670206814358746	nan	-30.54287663761373	-25.444333229891434	500.0	-28.005895596658235	-29.013312426615826	-28.892612283751973	-27.407356017357735	-29.432996981543212	-27.513220573664604	-29.332634316942038	-29.976495437354714	-28.6102590524454	-28.992586453085522	-25.648911331375817	-18.732525360595517	-27.30013304563161	-30.60662624576693	-27.277787779909723	-29.762083796656633	-29.146524005589526	-27.442272262627636	-26.04159222904493	-28.85001967950886	-27.53141058295447	-28.745627458097395	eq	-27.058272882685202	-27.794050382357018	-29.8940862960132	-33.851443763150435	-33.84432324499342	-22.683474996895082	-13.300615249000794	-28.10185987770133	-28.997717857147514	-22.55961840629527	-29.87711413549018	-29.969142582643773	-28.98508626591534	-25.42949119995476	-30.02984659528434	-27.814785238499113	-12.761842558588945	-30.25328152154115	-29.871672958027297	-22.642982155611207	-25.239180120434497	-29.432996981543212	-29.729462505389577	-36.245066449886856	-24.91015824818121	-26.189687225783942	-29.27030391962164	-29.875552456386927	-27.39668048947761	-27.257152368975554	-27.520780228142335	-29.829228854777547	-27.200165957604597	-27.505115958289398	-27.165308240259833	-32.71782320427691	-30.46373545572851	-27.474628302462044	-29.964644411701826	-29.432996981543212	-29.039413763527428	4.5	-27.9435130251247	-27.76116417443426	-31.44211287640365	-29.42917078777078	-35.316695676859055	-27.654087880733762	-19.384105326839904	-29.054229463506907	-24.974505634884572	-0.0	-27.441441840952066	-29.348589995676846	-27.406127451632145
-29.148855877129698	-27.128950604947434	-33.4993492794017	-29.697972344781064	-29.12036516008468	nc	-28.21309756035694	-25.14010455714928	-29.119969344009846	-28.732530097437383	-25.441415116050464	-28.268704995650914	-34.170164908440036	-32.9400612488194	-34.206247379433705	-25.162783259773253	-21.587252269596174	-29.004027077159762	-25.31331543432023	-28.900167557517204	-27.178678711846956	-25.065115190225953	-26.933170579277306	-27.502702144130925	-26.629963511251397	-32.45472931130894	-27.178678711846956	-29.00677087386032	-27.107273299912876	-28.88577497270138	-29.121766096739755	-20.041396509016558	-26.140128526772735	nc	-27.014572851789815	-28.39509013635154	-6.599645361773549	-28.313901907516513	-27.04390329018253	-29.78962459302085	nan	-30.370988393699996	-26.192205316261315	500.0	-27.67601722665819	-28.84936119043047	-28.76016935617544	-27.043292770178194	-29.284283650473625	-27.167723109177647	-29.24309315673765	-30.056941902403416	-28.702080746371553	-29.101568877955817	-26.178478287216226	-19.786712107796127	-27.86168351290842	-30.89051661666245	-26.999113375267235	-29.61158817567398	-28.94300082931023	-27.099771649550014	-25.888515887413735	-28.716320830704767	-27.178678711846956	-28.878260895789264	eq	-27.67579705713263	-27.57094990860206	-29.73558425735344	-34.090915447381676	-34.12101120383239	-22.872561595909815	-14.348338604702812	-27.716532347218397	-29.083849910931043	-23.248527768919942	-29.726593129586732	-30.067225964955515	-29.107240421799663	-26.177196748152202	-29.859578798740504	-28.340907537898097	-13.346456806121147	-30.391318286535792	-29.699194619777593	-23.335230044262516	-26.021408305000357	-29.284283650473625	-29.652909203786045	-36.147361753096234	-24.792824879444844	-26.547811585080808	-28.925137179414875	-29.700465231168227	-27.036103947893917	-27.768149490407396	-27.15914680189735	-29.891801316838034	-26.895084647363174	-27.9905682971112	-27.24449559931068	-32.92562370057145	-30.55139104984304	-28.04644946548912	-29.798328827884436	-29.284283650473625	-29.13254187335746	5.0	-27.660305328681698	-28.296855592865757	-31.75887474968019	-29.470644965093452	-35.10115604610987	-28.124445921472553	-19.866727231742136	-29.146380152394087	-25.88644804551916	-0.0	-27.146296746980354	-29.46937831169464	-27.067693854930393
-30.035241583992836	-29.817593743209493	-34.67705575760928	-31.037362008898462	-30.699878160073936	nc	-29.04325597920164	-26.62909362407277	-29.952172295611742	-29.998277584289074	-27.65962203602577	-28.999196315861475	-31.898192106928576	-33.421753873469925	-31.82744791393383	-27.771932355688953	-19.21201590055301	-29.927234800258226	-28.601517372142766	-30.205806409795276	-29.884357349395426	-27.714040355161703	-29.602450664317395	-28.96996695721643	-27.541615908237212	-33.8852846757814	-29.884357349395426	-30.350688308844084	-28.74312152348913	-30.147507119879833	-30.01414659292322	-17.26562423548838	-25.749385473501928	nc	-29.689877691640202	-29.730398243191594	-8.412308878660571	-29.59567651197134	-29.72860782248614	-30.51258969977586	nan	-31.670386052122844	-25.89375399816198	600.0	-30.355301100036925	-30.140092736642256	-29.949726270589295	-29.74814027639003	-30.60430622606161	-29.821860821727114	-30.55271842390592	-31.31278897512785	-29.620347367956793	-30.035171608059915	-26.48116380858207	-16.818328978701935	-28.88752023041901	-31.574517028090575	-29.586654729334537	-30.93515849760592	-30.300843727504066	-29.760039700275378	-28.545485696163418	-29.92299083642175	-29.884357349395426	-29.465818189100172	eq	-28.371275978796664	-29.99232192754024	-31.077070093352674	-33.21523241822007	-33.211376190699774	-24.96945873644791	-13.947761317204844	-30.453007179207916	-30.004184754035528	-20.94854390730788	-31.046447471604587	-30.795344129841467	-29.91741694336687	-25.825345322199578	-31.19377890308046	-29.29444138248387	-14.109353587693834	-31.00755000296136	-31.05254582192252	-21.02020769725588	-25.499463756897875	-30.60430622606161	-30.74959090328158	-36.583390336390565	-27.732214404888047	-27.054001722133357	-30.722824334096643	-31.0402205534152	-29.732697112507314	-28.69525450303424	-29.87115988674401	-30.740480757366786	-29.505496993347784	-28.859023156909025	-28.175635648270433	-33.38036683046921	-30.987348109554702	-28.77975990944013	-31.16398812895007	-30.60430622606161	-30.027946895691684	3.0	-30.27383916970593	-29.294487548902644	-32.270023501842886	-30.382446894904838	-35.89603380246644	-28.972084998544275	-22.752464629610248	-30.032680729373634	-26.711567917932328	-0.0	-29.73683809010811	-30.21124801360414	-29.76578097497804
-30.338006130422016	-30.24438267126625	-34.64350718784752	-30.982597897754395	-30.4520414066511	nc	-29.269764466133207	-27.03465607347677	-30.289200840810548	-29.851170444201852	-27.684471481590794	-29.269440240276975	-32.45265577465823	-33.5392731476094	-32.40381743037335	-27.701198981195	-19.852160942072747	-30.311381589402085	-28.848916550702832	-30.048105621713415	-30.307344181855285	-27.67002812754466	-29.990807751685878	-28.93931443224915	-27.85709655406091	-33.83899713223257	-30.307344181855285	-30.345329878313567	-29.05975706819874	-30.135028450687305	-30.323071710250847	-17.949806709237137	-26.312568464027017	nc	-30.100013813177714	-29.59129293226638	-9.808288378917075	-29.528754319215572	-30.146172483153357	-30.819563237249383	nan	-31.594968705432407	-26.437841753813863	600.0	-30.798365244823515	-29.98509862151724	-29.821514259794128	-30.171671664718424	-30.562713953204586	-30.25866054056432	-30.6482057132061	-31.24350671367221	-29.922653154401516	-30.34360708315967	-26.852377153474905	-17.526937298153197	-29.066665115580097	-31.586364439197553	-30.01577947808892	-30.894381984034407	-30.135775051590677	-30.215507777468066	-28.635576766500904	-29.795215123169683	-30.307344181855285	-29.821622584764583	eq	-28.61703142275461	-30.33565849163567	-31.023864091128956	-33.46671920823485	-33.45453268719972	-25.205260970450034	-14.638658680382786	-30.975489402421633	-30.313835368697674	-21.575803275866612	-31.001888910799458	-31.114050730469618	-30.219592696303636	-26.386831583663483	-31.140969314730768	-29.50441274822961	-14.826844142274362	-31.349662844834725	-30.993206683660883	-21.64725505521449	-26.072414894905442	-30.562713953204586	-30.77950917869646	-36.58942527532565	-27.91317720484563	-27.25183996684931	-30.50662948333315	-30.983733360399363	-30.161154227895853	-28.924727049184604	-30.29848946234415	-31.057956635063796	-29.760545350762385	-29.09074793449497	-28.268830279972725	-33.500213625069655	-31.34677852655812	-29.01716077927488	-31.09971423688018	-30.562713953204586	-30.331374926398095	3.5	-30.670116448740238	-29.482996322692152	-32.31367201858859	-30.7033920944796	-35.96039025992469	-29.20490866388521	-22.958352199932595	-30.340816275283736	-27.044352306293014	-0.0	-30.01689152676354	-30.51339575895711	-30.18770580200213
-30.284798730410376	-29.95883426295157	-34.68215159714121	-31.058648047232268	-30.641776261640153	nc	-29.06729148099583	-26.631059920399313	-30.244607883560594	-29.98581908016138	-27.407880455228405	-29.10948246588974	-33.70694458074424	-33.46854339638171	-33.695471219482215	-27.2974379944799	-19.918320017388567	-30.279013016888406	-28.311157246384727	-30.201630921053088	-30.00599537705529	-27.302925122308345	-29.681185939775368	-29.017885320322073	-27.587678435641287	-33.78452982166452	-30.00599537705529	-30.447693355705418	-28.93324720408621	-30.201115364765137	-30.269850624319083	-17.957325201112535	-26.024718892135567	nc	-29.804532786428496	-29.722809713045795	-9.934665636833502	-29.618416585435053	-29.85170418767122	-30.798787806070152	nan	-31.692631878536602	-26.132384572246256	600.0	-30.502474836297825	-30.12679236651724	-29.951094926421305	-29.880750066774375	-30.64085340921697	-29.986882003466093	-30.6902511786649	-31.1808426086583	-29.860490389802948	-30.27293623387051	-26.629961196964235	-17.540014625582558	-28.77185879919856	-31.450787978186185	-29.71130795586003	-30.973675734848886	-30.296260305264042	-29.95077720433624	-28.216314197511373	-29.92437119735642	-30.00599537705529	-29.888849429456158	eq	-28.418464167968498	-30.02774466164294	-31.099817422419736	-33.88570737695829	-33.88406931383577	-24.777158613046808	-14.719897390822663	-30.720134786821653	-30.256596122739623	-21.63364148790578	-31.081152117374163	-31.09450709056616	-30.181802144201157	-26.096160885688718	-31.22842775770277	-29.299122594053838	-14.78669471405669	-31.35902458568234	-31.071810507829845	-21.7104161218062	-25.79299404732048	-30.64085340921697	-30.8092275113769	-36.614269863951286	-27.362098584795753	-27.127018469410405	-30.670154494515508	-31.066832488165815	-29.871041686775797	-28.696152388881945	-30.006979941682047	-31.024440113855864	-29.41538663858109	-28.890049865912914	-28.23351488581141	-33.4359547467582	-31.42743980697061	-28.834017004211905	-31.16376616007804	-30.64085340921697	-30.277405494815998	4.0	-30.346950419786964	-29.241564552616154	-32.20153429808195	-30.66671182927257	-35.95397360339408	-29.0023544242163	-22.196596338455443	-30.288005139656406	-26.799236022346278	-0.0	-29.678561364751165	-30.487077386182357	-29.89418696392061
-30.297199568283144	-29.443961236595303	-34.58661929773292	-31.026273883854856	-30.531046538155348	nc	-29.21612202810706	-26.423008680167833	-30.26040600783748	-29.93387479073128	-27.386608810177087	-29.284148578463558	-34.37472720701065	-33.53320774844518	-34.377310244216694	-27.205055521353433	-20.575293371880274	-30.245043828314337	-27.752125125153956	-30.142694763617005	-29.487916683429493	-27.234352927664993	-29.18740946504869	-28.994288336943068	-27.566729015538016	-33.63699103063972	-29.487916683429493	-30.38798308133524	-28.8077201214945	-30.175514532336393	-30.272789314423775	-18.650371091946923	-25.91866144625156	nc	-29.29734284334827	-29.66655357054769	-10.17237746542323	-29.587229808492808	-29.3345008403328	-30.83556887225398	nan	-31.670755955999947	-26.012887639356386	600.0	-29.96647861709059	-30.067089286183197	-29.912119602007294	-29.35214501577883	-30.62446489304675	-29.466618102873387	-30.702172760108247	-31.19989351678643	-29.86486501465563	-30.250821910727183	-26.594469371072776	-18.302787238484314	-28.846703439250383	-31.538843372980576	-29.257999665910912	-30.956718710300674	-30.234142652407932	-29.436403825832112	-28.09545074700429	-29.884828087747437	-29.487916683429493	-29.9756828115469	eq	-28.629147672387862	-29.683222132115574	-31.066945414951135	-34.32591537563765	-34.330868366091146	-24.683008598584955	-14.901846956764134	-30.088796375304	-30.251632397787542	-22.263137339457696	-31.06419826318282	-31.117299030978614	-30.23519942891566	-25.98605867298467	-31.20233091559561	-29.372342991051692	-14.874451496375663	-31.41732051697991	-31.04539299900534	-22.34527337364915	-25.698004632034973	-30.62446489304675	-30.812523929398306	-36.57278302069339	-26.935401730121214	-27.0664040640713	-30.536687891110326	-31.04727172264706	-29.349519671791025	-28.788823544714198	-29.480123903316517	-31.02821105482691	-29.099623542643954	-28.987777258002154	-28.228409554496274	-33.511938449474336	-31.519880062690792	-29.011832253059715	-31.11779737629442	-30.62446489304675	-30.287161990019392	4.5	-29.878831033705175	-29.309773866658716	-32.30690405612382	-30.6524206607353	-35.87979115329333	-29.08559632753244	-22.012442416445918	-30.293295638856502	-27.05240060480008	-0.0	-29.34047018255779	-30.532715733464173	-29.36620166950078
-30.42791405553334	-29.118583255497846	-34.29804146141087	-30.951232290603905	-30.282757459125826	nc	-29.711793822816293	-26.548584797091547	-30.398353587715633	-29.757048519660977	-27.620212408490822	-29.76411870694029	-34.640724347191025	-33.721222051194566	-34.656475814047425	-27.43202354054338	-21.525812463448094	-30.33921802745318	-27.442434570399957	-29.94511103984489	-29.166376299785732	-27.40021275350927	-28.930232497457517	-28.92523416372552	-27.682713351197986	-33.401761808733255	-29.166376299785732	-30.27563975982419	-28.735027837019935	-30.119671165358785	-30.406259822818154	-19.69158020321412	-26.210577583083886	nc	-29.006844921678695	-29.506327144985	-9.890358386306987	-29.49050161544992	-29.034519071255364	-30.993377117822185	nan	-31.5863299019177	-26.289160355287734	600.0	-29.63098267620809	-29.882809240100595	-29.746878552826846	-29.026513862910008	-30.56061637381156	-29.151635816589653	-30.68013940425107	-31.32205357244496	-29.99100588077592	-30.378715697013003	-26.739288469712793	-19.389504544576933	-29.369723089363248	-31.76294434738721	-28.978306513096598	-30.889542587360523	-30.029698406853377	-29.093818975311706	-28.092087003559435	-29.712313022330573	-29.166376299785732	-30.195953804855073	eq	-29.1733643274938	-29.482976943866724	-30.991129144461127	-34.601045937970916	-34.62442087756562	-25.06814968049524	-14.941126012629603	-29.69288382723425	-30.380273135949256	-23.211928176410616	-30.99883705649193	-31.24460660550051	-30.390709109399804	-26.26471113494287	-31.11626587916681	-29.822407966616147	-14.739697380398882	-31.545635323545696	-30.959967148071584	-23.30607981983265	-26.036315247469783	-30.56061637381156	-30.855435185204655	-36.45898728656452	-26.815329536254737	-27.09875438992453	-30.257596132469253	-30.976492492376	-29.02567859810249	-29.248538871479358	-29.149911019508966	-31.11928138802512	-28.93706658940285	-29.435226484324012	-28.17655730721086	-33.709174154111295	-31.642256471975134	-29.503987639120943	-31.03849985745476	-30.56061637381156	-30.415180749895598	5.0	-29.574964457901764	-29.771230513287815	-32.579774257586266	-30.735638299044226	-35.704513691394325	-29.51089340667086	-22.2864898787596	-30.428285905584254	-27.761832006961193	-0.0	-29.157527559118414	-30.692439184849647	-29.061950757806724
