teff	logg	z	fsed	cld	FOURSTAR_K	MKO_MP	WISE_W2	VISTA_J	WIRC_CH4L	WIRC_K	PANSTARRS_Y	UKIDSS_Y	PANSTARRS_G	WIRC_H	WIRC_J	WISE_W3	2MASS_Ks	VISTA_Y	WIRC_PABETA	HAWK_Y	SDSS_U	UKIDSS_Z	NICMOS_F145M	HAWK_BRG	WIRCAM_H	WISE_W4	WIRCAM_CH4_ON	SDSS_G	UKIDSS_K	MKO_KP	WIRCAM_KS	WIRC_FE2	NIRC2_KCONT	NICMOS_F187N	NICMOS_F113N	PANSTARRS_R	NICMOS_F165M	2MASS_K	WIRCAM_KCONT	PANSTARRS_W	VISTA_H	FOURSTAR_J1	HAWK_CH4	SDSS_Z	FOURSTAR_J	NICMOS_F170M	WFCAM_BRG	NICMOS_F095N	NIRC2_FE2	2MASS_J	PANSTARRS_Z	HAWK_KS	HAWK_NB1060	UKIDSS_J	WIRC_CH4S	WFC3_F167N	HAWK_H2	SDSS_R	VISTA_KS	MKO_K_ATM	VISTA_Z	HAWK_J	NICMOS_F190N	PANSTARRS_I	IRAC_CH3	FOURSTAR_KS	NICMOS_F140W	WFCAM_J	WFCAM_H	FOURSTAR_H_LONG	NIRC2_H	HAWK_NB2090	HAWK_NB1190	MKO_K	NIRC2_KS	MKO_LP	WFCAM_Z	2MASS_KS	FOURSTAR_H_SHORT	SDSS_I	WIRC_BRGAMMA	FOURSTAR_J3	NIRC2_HCONT	FOURSTAR_H	WFCAM_Y	WFC3_F127M	MKO_H	BESSEL_I	WFC3_F139M	WIRC_CO	WFC3_F164N	WIRCAM_J	FOURSTAR_J2	MKO_J	IRAC_CH4	WFCAM_H2	UKIDSS_H	NICMOS_F166N	NICMOS_F164N	NICMOS_F090M	NICMOS_F097N	MKO_H_ATM	WFCAM_K	NICMOS_F108N	NICMOS_F160W	HAWK_H	NIRC2_LP	MKO_J_ATM	NIRC2_J	2MASS_H	IRAC_CH1	WISE_W1	NIRC2_KP	NIRC2_M	NICMOS_F110M	NIRC2_K	NICMOS_F110W	WIRCAM_CH4_OFF	IRAC_CH2	WIRCAM_Y
1000.0	3.0	0.3	nc	nc	-27.243326405694724	-36.79305701456507	-36.6480778366729	-27.37897510526208	-30.76025484852247	-33.12927030064218	-23.265295385032438	-24.433089896625543	-6.933533232748244	-30.154811526988258	-26.916606993561093	-37.55125399458444	-32.817235630615215	-24.25227066713708	-27.808221270163717	-24.23910305968572	5.408765748429767	-21.693915443462323	-29.054207108955104	-32.99083654417122	-30.42136359724903	-37.98868987257532	-30.775726638419098	-5.922603798432789	-32.953166714521586	-32.660705781239386	-32.794573988723464	-30.594095271463022	-33.118440003245965	-31.51550288562438	-25.74340372850909	-13.965278886385768	-30.51910836504151	-32.817235630615215	-33.05069985418027	-16.728921120230137	-30.50066041812865	-24.795103547744844	-30.104173173926824	-22.22479493134083	-27.243326405694724	-30.803639434229986	-33.023698392355215	-23.039259076236604	-30.571847196466777	-27.31788059994176	-21.392815470171595	-32.79134255593218	-24.848933678091804	-27.352064751577537	-30.32792301620401	-30.668315484403905	-32.80585067025102	-13.630661005832357	-32.80740418060148	-32.85769406019574	-21.5975585465847	-27.420898121334588	-31.698695380678622	-18.560946763782372	-37.20248330157341	-27.243326405694724	-28.862352104158827	-27.39803469112644	-30.51322666030899	-30.82784944200455	-30.4179620399313	-32.69044384671552	-26.55413085700608	-32.935633355168534	-32.79371520441224	-36.21657931044017	-21.66910240625162	-32.817235630615215	-29.93541534782637	-18.445876325347307	-33.02542988194761	-27.682268050413835	-30.19255971947976	-30.351538586707775	-24.512783835186692	-27.594220790693576	-30.40831316577941		-28.23882592175474	-33.16021947731465	-30.58240261166616	-27.38473426157956	-26.07327923412253	-27.323293193062632	-37.100661916745786	-32.87073507874647	-30.456011353471716	-30.556312692340974	-30.577446907292376	-22.20806643838231	-23.28561502590979	-30.40456433798742	-33.02884715873563	-25.15734085522308	-30.161596617243326	-30.346983979147826	-36.22485585477761	-27.31091536614185	-27.32271624587032	-30.467994506888253	-35.80689132230708	-35.412923289195874	-32.689646573771164	-36.73929530550883	-25.52307551032043	-32.9270103100038	-26.034665658343794	-30.203046394659165	-36.590215759954596	-24.34653024285357
1000.0	3.0	-0.0	nc	nc	-27.852556153086077	-36.601862381658655	-36.57797147016001	-28.022592310078114	-31.40900302949571	-33.48108541005921	-23.74926691158588	-24.996566292257146	-6.818501503260823	-30.90417218081454	-27.571168499933766	-37.50757475053489	-33.380783297253814	-24.806596438210246	-28.483622806227828	-24.793574280810283	5.261161610842242	-22.090747438856514	-29.576830623661337	-33.67231637844044	-31.082960475660094	-37.99094763414261	-31.42362661964905	-5.800877231250795	-33.49654025092265	-33.23593422078561	-33.37696482841919	-31.33108685207128	-33.48326446103458	-31.650725627772154	-26.2640161678462	-14.02226993611334	-31.204620459188497	-33.380783297253814	-33.579620026432835	-16.96753402684108	-31.146913299383655	-25.36075855623023	-30.83349418353052	-22.681787602310585	-27.852556153086077	-31.41231005866796	-33.684167617071985	-23.45303465380848	-31.281020311062868	-27.8042373366063	-21.77899918621234	-33.358561662735646	-25.42804725723771	-28.013615560208454	-31.058973264144818	-31.38475311155192	-33.50809202140964	-13.668149773283433	-33.40067684404149	-33.370530199947	-21.990979143951186	-28.075909599889858	-32.0435648525032	-18.809019082009996	-36.63539299468412	-27.852556153086077	-29.472762715722048	-28.05346443783336	-31.1542798114061	-31.448382063740965	-31.070783940324876	-33.38957527468399	-27.173824482171153	-33.48521866018628	-33.38299212122736	-36.240587898076775	-22.06436322542507	-33.380783297253814	-30.639509643050463	-18.690932806969162	-33.660133683521124	-28.279626138837116	-30.944482354464576	-31.023751425564456	-25.079234044692594	-28.271819024032453	-31.05766733410849		-28.448770012986696	-33.51833492203018	-31.318736678558196	-28.04472771317731	-26.657525702644254	-27.986097303474175	-36.683735225895894	-33.56574396098498	-31.110501369585087	-31.244570124994265	-31.294622420787626	-22.643586668208723	-23.759689948076538	-31.032541170830378	-33.54752007350171	-25.749266158715063	-30.78377832382926	-31.009314070612636	-36.24748388001612	-27.978191794275816	-27.985151109520142	-30.991712782577167	-35.755997793077704	-35.28189678483847	-33.259063595339576	-36.57113307339998	-26.096048695717652	-33.48506915584221	-26.576043568254537	-30.938388816652186	-36.57614187653407	-24.90530173977925
1000.0	3.0	-0.0	nc	nc	-27.852556153086077	-36.601862381658655	-36.57797147016001	-28.022592310078114	-31.40900302949571	-33.48108541005921	-23.74926691158588	-24.996566292257146	-6.818501503260823	-30.90417218081454	-27.571168499933766	-37.50757475053489	-33.380783297253814	-24.806596438210246	-28.483622806227828	-24.793574280810283	5.261161610842242	-22.090747438856514	-29.576830623661337	-33.67231637844044	-31.082960475660094	-37.99094763414261	-31.42362661964905	-5.800877231250795	-33.49654025092265	-33.23593422078561	-33.37696482841919	-31.33108685207128	-33.48326446103458	-31.650725627772154	-26.2640161678462	-14.02226993611334	-31.204620459188497	-33.380783297253814	-33.579620026432835	-16.96753402684108	-31.146913299383655	-25.36075855623023	-30.83349418353052	-22.681787602310585	-27.852556153086077	-31.41231005866796	-33.684167617071985	-23.45303465380848	-31.281020311062868	-27.8042373366063	-21.77899918621234	-33.358561662735646	-25.42804725723771	-28.013615560208454	-31.058973264144818	-31.38475311155192	-33.50809202140964	-13.668149773283433	-33.40067684404149	-33.370530199947	-21.990979143951186	-28.075909599889858	-32.0435648525032	-18.809019082009996	-36.63539299468412	-27.852556153086077	-29.472762715722048	-28.05346443783336	-31.1542798114061	-31.448382063740965	-31.070783940324876	-33.38957527468399	-27.173824482171153	-33.48521866018628	-33.38299212122736	-36.240587898076775	-22.06436322542507	-33.380783297253814	-30.639509643050463	-18.690932806969162	-33.660133683521124	-28.279626138837116	-30.944482354464576	-31.023751425564456	-25.079234044692594	-28.271819024032453	-31.05766733410849		-28.448770012986696	-33.51833492203018	-31.318736678558196	-28.04472771317731	-26.657525702644254	-27.986097303474175	-36.683735225895894	-33.56574396098498	-31.110501369585087	-31.244570124994265	-31.294622420787626	-22.643586668208723	-23.759689948076538	-31.032541170830378	-33.54752007350171	-25.749266158715063	-30.78377832382926	-31.009314070612636	-36.24748388001612	-27.978191794275816	-27.985151109520142	-30.991712782577167	-35.755997793077704	-35.28189678483847	-33.259063595339576	-36.57113307339998	-26.096048695717652	-33.48506915584221	-26.576043568254537	-30.938388816652186	-36.57614187653407	-24.90530173977925
1000.0	3.0	-0.3	nc	nc	-28.4964865774897	-36.83666644246041	-36.80902415255891	-28.638596985013418	-31.818223067709724	-33.83640160664137	-24.645442159035703	-25.797391974568285	-8.908385509154854	-31.304492159716535	-28.205658388824357	-37.69657923792537	-33.67660455888182	-25.621079636218923	-29.06289150144026	-25.608213904813653	1.997438805040338	-23.109445836414316	-30.185685588743123	-33.893197027799594	-31.507846843439708	-38.10324249061716	-31.832423405970516	-7.968342074232458	-33.78117599082102	-33.54178097617564	-33.660215419078796	-31.707946943751303	-33.83342796803389	-32.42917764122153	-27.039867061376583	-15.561993993633852	-31.608370429275876	-33.67660455888182	-33.86509215483211	-18.20255918837261	-31.578369136624936	-26.145855515775228	-31.24590847876375	-23.621071997738557	-28.4964865774897	-31.85270721924361	-33.91261895054417	-24.412596327739003	-31.673078442625236	-28.5345607651475	-22.814488988506575	-33.65338642718532	-26.205068020370614	-28.617898254516515	-31.45342171130865	-31.762555373207825	-33.73040157475545	-15.247007818347402	-33.679213147191334	-33.66046593513923	-23.01500104243321	-28.681566851049727	-32.645497999106865	-20.02898768580902	-37.05928948375953	-28.4964865774897	-29.961255885209773	-28.660778774050186	-31.5890808432763	-31.8770288309682	-31.502056004025178	-33.62634535043133	-27.847950043890094	-33.76820271585601	-33.66438503874424	-36.38520884462992	-23.084913666742608	-33.67660455888182	-31.076276717711675	-19.91802262637419	-33.90274914770839	-28.918656421434868	-31.339999131291435	-31.44340153717268	-25.87500652446732	-28.858797402135234	-31.491638817792097		-29.345578091062684	-33.87139924340052	-31.697841302231915	-28.648628272521044	-27.374370281374816	-28.590142047618055	-37.06057312883153	-33.78815291648112	-31.53902571197205	-31.639141191942656	-31.685301043599953	-23.601941037917253	-24.66977415356051	-31.473164082438267	-33.83868156494519	-26.50560076248615	-31.24425004186593	-31.434300157628456	-36.39324218695323	-28.580809180789505	-28.58944824677281	-31.484685565599705	-35.99732303214731	-35.629645020496035	-33.56410487859442	-36.78947693467955	-26.83565485588268	-33.763608127612486	-27.274023550416572	-31.34068150990452	-36.77071210458511	-25.711482262381704
1000.0	3.0	-0.6	nc	nc	-27.00929530811591	-36.77482332253124	-36.73651256358158	-27.153187316120988	-30.84771423142285	-33.25063398529056	-22.515394440311272	-23.835963418128514	-4.649176655848594	-30.221167981486165	-26.623901461750236	-37.55471388575199	-33.01499659714554	-23.629640821778768	-27.61864425699395	-23.61643914214053	7.5178653850633275	-20.691863007517767	-29.007976006983284	-33.23325785244076	-30.49766239170959	-37.99348693494738	-30.8637427036645	-3.6118996653208226	-33.14971384601471	-32.86664190077719	-33.00085410341709	-30.693818638442913	-33.250657331450164	-31.605250377866547	-25.297942225759662	-12.105354653530222	-30.598739335143673	-33.01499659714554	-33.2395911312635	-15.31499405855322	-30.57949240754333	-24.24206446417573	-30.162471272378703	-21.38736736172885	-27.00929530811591	-30.895881458023766	-33.262077659128195	-22.20396909502684	-30.658420188791865	-27.086211695322223	-20.353567318216435	-32.99233306082042	-24.293159159937705	-27.123471911948304	-30.403449084730628	-30.76509410189303	-33.05050571670668	-11.72519502823037	-33.01773178772616	-33.01440635337904	-20.58406592435381	-27.198315524460725	-31.838973438188994	-17.17030767296976	-36.98188547959756	-27.00929530811591	-28.895949321274344	-27.173266491443467	-30.59219243367311	-30.919403328058074	-30.494076257137127	-32.93181337588088	-26.21581518726149	-33.13182223205746	-33.00243543793049	-36.20174122414055	-20.664081596477956	-33.01499659714554	-29.979087039860648	-17.04852943820359	-33.25571477002131	-27.478382639990148	-30.260127069808345	-30.421894291266707	-23.925624805058764	-27.381748960286913	-30.48206161621547		-28.065353257580515	-33.30662996384715	-30.67858229650874	-27.159119274173158	-25.689838792288956	-27.092004457392534	-36.91323704355328	-33.11688153593478	-30.534293463340155	-30.63552081244172	-30.66614665920206	-21.345761070701066	-22.512606671458606	-30.464105606846346	-33.22112800050308	-24.642691574364353	-30.225058180206283	-30.418619882469436	-36.209186386568135	-27.07896779731378	-27.091582758809945	-30.492548996319417	-35.78146504643112	-35.386451139020586	-32.89374451754885	-36.72821330203563	-25.092551401181048	-33.12771860360626	-25.78057395066375	-30.26879025294918	-36.68134395941269	-23.74209282799443
1000.0	3.5	0.3	nc	nc	-27.556576948670365	-36.720358834004024	-36.62451426041994	-27.700720099181932	-31.025905982836402	-33.27347211495058	-23.612286807774687	-24.786503324257424	-7.246708024309449	-30.473318458521227	-27.250870495792697	-37.5630694094226	-33.060976313245135	-24.606632894281297	-28.134198116927173	-24.593712757583106	5.056505217602093	-22.047881868605828	-29.310430691179032	-33.2828781870839	-30.700307624047515	-38.00885393690848	-31.039684161606466	-6.233761453347474	-33.18434137326949	-32.91415585392376	-33.04364980732492	-30.90296915826412	-33.26813100991434	-31.696706659220535	-26.052324233951083	-14.305575837280829	-30.802183555929584	-33.060976313245135	-33.27594023735107	-17.08279482549756	-30.77585835658865	-25.140474406878365	-30.41382367051837	-22.577020359410227	-27.556576948670365	-31.065705793710727	-33.30917324206271	-23.36803967450054	-30.866240256954157	-27.59933798669727	-21.748705819750928	-33.036031664012036	-25.20088616043916	-27.679056757703464	-30.63439204548528	-30.962896576785532	-33.104818674366584	-13.968669791765237	-33.06265834150282	-33.05986516559689	-21.952139747189328	-27.744020376256877	-31.923604779490972	-18.915200536265377	-37.032152238779126	-27.556576948670365	-29.134560573373154	-27.723115659129576	-30.787619432416196	-31.089780403731563	-30.69429695964015	-32.98845666483877	-26.88179212531281	-33.16873560597133	-33.046200541590984	-36.20129301734719	-22.02298816311458	-33.060976313245135	-30.237216954365312	-18.79986716196424	-33.30128434112985	-27.987266691891243	-30.5113205881582	-30.631789159010236	-24.865546586714125	-27.92424440293347	-30.68296575135195		-28.435403091908622	-33.31401469069576	-30.891060258450512	-27.710659096141264	-26.398513272249694	-27.6506880145803	-36.963307595769464	-33.16873437217594	-30.733760028973336	-30.8361013458143	-30.877230377784567	-22.554197529951363	-23.6325199242396	-30.66419493765924	-33.25031558404128	-25.50686720057879	-30.432222030786797	-30.62241573419488	-36.208975817667955	-27.64130511570672	-27.65005599579891	-30.67983309483396	-35.78097332365119	-35.37906901217419	-32.93878731253952	-36.6679359949576	-25.851047329100712	-33.16311930499202	-26.331283497389485	-30.513719570516038	-36.58016193005573	-24.699358060400023
1000.0	3.5	-0.0	nc	nc	-28.715337671446868	-36.87075758984979	-36.82640521200305	-28.853947338170244	-31.889756728143542	-33.92300400352577	-25.132001276995798	-26.202741944430702	-10.33982341253422	-31.37812987786276	-28.454378876197527	-37.74957016486808	-33.70473458985303	-26.03927648580342	-29.258931538728326	-26.02651396930391	0.35538164231864655	-23.725148380606743	-30.299719272855587	-33.900368604953606	-31.580505216985443	-38.13784360734717	-31.904852778211577	-9.42990350681574	-33.812631972407075	-33.55925593168155	-33.6823104624035	-31.769285091966136	-33.91095306147805	-32.45991069016257	-27.3667827984086	-16.675577470335906	-31.681667077940936	-33.70473458985303	-33.90205666211419	-19.049750192537104	-31.649417751504263	-26.528279697081466	-31.323139777444894	-24.161485793486435	-28.715337671446868	-31.917645448020934	-33.922831475327115	-24.94224511990752	-31.742818624308793	-28.74741778199248	-23.450832542332456	-33.67721235420504	-26.58786652724991	-28.83531261173274	-31.52473107009708	-31.82704086127793	-33.734796557496324	-16.389717950533715	-33.69959670247339	-33.71346822183749	-23.637077598250528	-28.895742779807048	-32.66194459526778	-20.859176975502585	-37.151990775827656	-28.715337671446868	-30.057184705871833	-28.875967706235386	-31.65919937081256	-31.944678514830102	-31.57440730996791	-33.630791859861006	-28.118839150313015	-33.80014174420428	-33.68508064669125	-36.497840248283126	-23.70223997642087	-33.70473458985303	-31.158518166961308	-20.752959051578436	-33.91812702655157	-29.119210928855793	-31.413599249341566	-31.5196384038185	-26.27529489449289	-29.067272415447917	-31.56498876808444		-29.514887662004107	-33.94996380533722	-31.76114471251138	-28.864392940473923	-27.66985166378724	-28.80928775862563	-37.155405480329705	-33.79122955710952	-31.610321436651994	-31.713112488708003	-31.753388035787818	-24.151149681904034	-25.163999095380795	-31.556447343321878	-33.87471044626385	-26.867844873359587	-31.320430271234393	-31.50921365285107	-36.506394032081886	-28.79995929120998	-28.80849050643265	-31.586969191732667	-36.11181330974503	-35.73661241944042	-33.58365164751892	-36.82453127533955	-27.15821602452955	-33.79289830518728	-27.506730596695682	-31.41566727585908	-36.79860867457793	-26.12106795140314
1000.0	3.5	-0.3	nc	nc	-28.81012507031012	-36.89122111999839	-36.87612930308618	-28.949749132255075	-31.97889528935033	-33.971482651086745	-25.203038005167993	-26.28174253780548	-10.425587883176652	-31.4753569474343	-28.548859978693258	-37.74803732789081	-33.7627444442482	-26.116833931371886	-29.3569315812854	-26.104011103644638	-0.002614248997219165	-23.78196158719951	-30.394933009725023	-33.961670384630736	-31.67191913616493	-38.14016001222603	-31.994335382956322	-9.527925458664956	-33.87053751858676	-33.619582165798036	-33.74282230542083	-31.86211129576146	-33.961613333697024	-32.5133530960307	-27.455379828117614	-16.709681181353034	-31.773685036851408	-33.7627444442482	-33.95574642887516	-19.087202100059407	-31.73907029383487	-26.610304476758685	-31.41944780528374	-24.226111591402756	-28.81012507031012	-32.00366760325545	-33.98211364196641	-25.01073252894698	-31.83508832827468	-28.838332844439197	-23.505411820195494	-33.73668064648133	-26.669374531465184	-28.93158472516467	-31.619143091155536	-31.918421489975746	-33.79916403118735	-16.425072164281026	-33.75987631932652	-33.76830584428003	-23.69318836927958	-28.992437429542196	-32.72565034070995	-20.897287569169553	-37.11059486794338	-28.81012507031012	-30.14755572826891	-28.972055715476934	-31.748202557142594	-32.031420476008066	-31.665695860777344	-33.69723699852991	-28.212096623450726	-33.8581147176173	-33.74575645793977	-36.51899349422462	-23.75888767111462	-33.7627444442482	-31.25529839586641	-20.790884510843732	-33.97613887421929	-29.214656148758287	-31.509598943748554	-31.612126752302068	-26.354863206902177	-29.16423744971066	-31.656386068121233		-29.602800412000096	-34.003556725483236	-31.854094709180195	-28.960798879783564	-27.76036359937537	-28.905620024681994	-37.129055243110784	-33.854458315477004	-31.700966189909565	-31.80399563006199	-31.84608855852987	-24.215667484852695	-25.23455093310213	-31.64780781227664	-33.93148241500632	-26.951714570038675	-31.41070973027864	-31.60230116966353	-36.527251418534284	-28.895709337099902	-28.904802640645386	-31.672502536750425	-36.126356230974736	-35.74799398701772	-33.644174155936504	-36.84855687416721	-27.246233507704545	-33.852117532360836	-27.598177512047386	-31.51124916564534	-36.84930527443021	-26.1996665077721
1000.0	3.5	-0.6	nc	nc	-27.311513716486054	-36.8059959197886	-36.771673538363814	-27.453255948737393	-30.961143903636703	-33.31502076444884	-23.163397039455113	-24.379609721572017	-6.463319219217018	-30.352186669184377	-26.968877433223724	-37.57595159508739	-33.04562370612914	-24.190365197671674	-27.898282375680907	-24.17713235606955	5.608916297688941	-21.51643121243467	-29.18649595223641	-33.250151008033754	-30.616757367886382	-38.00711758219736	-30.978085824453288	-5.454635668452853	-33.182016913802556	-32.891733353335965	-33.029830903092716	-30.803611996626067	-33.309152311955934	-31.629770506178822	-25.739957604432384	-13.562514946243864	-30.718884154583108	-33.04562370612914	-33.27068801328164	-16.43604450233784	-30.694108909852037	-24.75675988727804	-30.295969642656935	-22.094595298679543	-27.311513716486054	-30.998481732768965	-33.27881909430557	-22.914071052105363	-30.775206334481794	-27.371440395190007	-21.204290961466846	-33.02106533908555	-24.809394102184925	-27.427285997094955	-30.526699832375584	-30.875945972298638	-33.06901699016392	-13.217835478222362	-33.0448708091934	-33.06311995606205	-21.41664073276025	-27.498427410083785	-31.86492543379597	-18.274482122106047	-36.937642429789264	-27.311513716486054	-29.03355594145477	-27.47376588921428	-30.704950526195436	-31.025582721244636	-30.612556513966865	-32.95357460628763	-26.59039685453149	-33.164644318434554	-33.030424148578476	-36.314268461839575	-21.490724222122964	-33.04562370612914	-30.119777399150557	-18.157496454175913	-33.275039389132914	-27.75968956212363	-30.3891147607473	-30.54641247632935	-24.46262737653969	-27.676001950473626	-30.60160543980347		-28.297359903477513	-33.370505205405046	-30.790216508610456	-27.46104965221425	-26.091262117533166	-27.397968074695402	-36.92658435903619	-33.133082763739154	-30.650703663035515	-30.75460910522981	-30.78204936124532	-22.0717319891313	-23.177338520338672	-30.593669576406228	-33.25540499942072	-25.131795193891108	-30.34638694740581	-30.542898859750288	-36.32167648958368	-27.38486193055675	-27.39737084541199	-30.629249658775002	-35.88142870563272	-35.466684126534375	-32.92064532002966	-36.76543881348238	-25.52509120299312	-33.16044440925789	-26.087890432178135	-30.39814608715952	-36.73406278241198	-24.290627287333926
1000.0	4.0	0.3	nc	nc	-27.60121281947979	-36.732394940479146	-36.68808710529205	-27.75792016302224	-31.18068253496397	-33.41848851429474	-23.479692332052153	-24.718959880782805	-6.326898324486719	-30.640503183825384	-27.293748160553257	-37.548359825240986	-33.251772616907886	-24.529494492796623	-28.210965298051136	-24.516479387014506	6.4362531898888715	-21.8164056467104	-29.382798164383676	-33.5157656705459	-30.851487264816168	-38.008907945231904	-31.19424934542313	-5.276984350178311	-33.378315607484204	-33.105959239310096	-33.24341072033827	-31.07880921631763	-33.41867039659073	-31.68470493456165	-26.018493820608693	-13.69364096002892	-30.962170922220388	-33.251772616907886	-33.46972328401032	-16.680474203199157	-30.923426589208308	-25.085847606072097	-30.57478148203849	-22.4086258698305	-27.60121281947979	-31.20756024481919	-33.537295966340885	-23.194244558145925	-31.033144068449545	-27.604604119574038	-21.50295495445014	-33.23036121462569	-25.149599028614674	-27.741022295152618	-30.802427121656514	-31.13601715134285	-33.33908473166928	-13.331944376036402	-33.26515453235321	-33.24840763116826	-21.71619977709154	-27.80574567211486	-31.99320712456643	-18.52362956510702	-36.88332374751453	-27.60121281947979	-29.256890049512624	-27.78418450928588	-30.933216660264637	-31.236538290920038	-30.84230296811745	-33.21813237058726	-26.90213210602298	-33.36399341410446	-33.247532210449705	-36.36967398213703	-21.7901701827809	-33.251772616907886	-30.387231694378805	-18.40496235044072	-33.521620234518934	-28.036983902289435	-30.680526106315824	-30.785129090930617	-24.801597741175417	-27.995483753727793	-30.829399813873923		-28.387184838929024	-33.4637367920195	-31.065925657239895	-27.77306587742445	-26.39632649068652	-27.71246714936634	-36.80458603690886	-33.402599634450794	-30.883172407266237	-31.000170144444155	-31.045619550231184	-22.37446236020355	-23.490794403478642	-30.804480249803255	-33.43844314708179	-25.470430447666974	-30.56762160315263	-30.772613152110573	-36.37707430502764	-27.703939410586962	-27.711759303979985	-30.78562532345022	-35.90678138137062	-35.4538619337848	-33.13010332666125	-36.690641178719346	-25.83244160755882	-33.360977938124385	-26.349160943519358	-30.678998698580507	-36.67363747961153	-24.628362232077187
